indicator,an,valoare
Lungimea străzilor urbane,2009-01-01T00:00:00,582
Lungimea străzilor urbane,2010-01-01T00:00:00,582
Lungimea străzilor urbane,2011-01-01T00:00:00,582
Lungimea străzilor urbane,2012-01-01T00:00:00,582
Lungimea străzilor urbane,2013-01-01T00:00:00,582
Lungimea străzilor urbane,2014-01-01T00:00:00,655
Lungimea străzilor urbane,2015-01-01T00:00:00,655
Lungimea străzilor urbane,2016-01-01T00:00:00,655
Lungimea străzilor urbane,2017-01-01T00:00:00,655
Lungimea străzilor urbane,2018-01-01T00:00:00,655
Lungimea străzilor orăşeneşti modernizate,1990-01-01T00:00:00,380
Lungimea străzilor orăşeneşti modernizate,1991-01-01T00:00:00,383
Lungimea străzilor orăşeneşti modernizate,1992-01-01T00:00:00,371
Lungimea străzilor orăşeneşti modernizate,1993-01-01T00:00:00,371
Lungimea străzilor orăşeneşti modernizate,1994-01-01T00:00:00,383
Lungimea străzilor orăşeneşti modernizate,1995-01-01T00:00:00,385
Lungimea străzilor orăşeneşti modernizate,1996-01-01T00:00:00,389
Lungimea străzilor orăşeneşti modernizate,1997-01-01T00:00:00,391
Lungimea străzilor orăşeneşti modernizate,1998-01-01T00:00:00,387
Lungimea străzilor orăşeneşti modernizate,1999-01-01T00:00:00,387
Lungimea străzilor orăşeneşti modernizate,2000-01-01T00:00:00,395
Lungimea străzilor orăşeneşti modernizate,2001-01-01T00:00:00,395
Lungimea străzilor orăşeneşti modernizate,2002-01-01T00:00:00,405
Lungimea străzilor orăşeneşti modernizate,2003-01-01T00:00:00,407
Lungimea străzilor orăşeneşti modernizate,2004-01-01T00:00:00,407
Lungimea străzilor orăşeneşti modernizate,2005-01-01T00:00:00,415
Lungimea străzilor orăşeneşti modernizate,2006-01-01T00:00:00,424
Lungimea străzilor orăşeneşti modernizate,2007-01-01T00:00:00,426
Lungimea străzilor orăşeneşti modernizate,2008-01-01T00:00:00,429
Lungimea străzilor orăşeneşti modernizate,2009-01-01T00:00:00,444
Lungimea străzilor orăşeneşti modernizate,2010-01-01T00:00:00,455
Lungimea străzilor orăşeneşti modernizate,2011-01-01T00:00:00,455
Lungimea străzilor orăşeneşti modernizate,2012-01-01T00:00:00,455
Lungimea străzilor orăşeneşti modernizate,2013-01-01T00:00:00,455
Lungimea străzilor orăşeneşti modernizate,2014-01-01T00:00:00,609
Lungimea străzilor orăşeneşti modernizate,2015-01-01T00:00:00,617
Lungimea străzilor orăşeneşti modernizate,2016-01-01T00:00:00,617
Lungimea străzilor orăşeneşti modernizate,2017-01-01T00:00:00,617
Lungimea străzilor orăşeneşti modernizate,2018-01-01T00:00:00,618
Lungimea străzilor orăşeneşti modernizate,2019-01-01T00:00:00,649
